# weak scaling
# Wenjie Lei, Dec 2018

#nodes #nproc	#nex_xi #elem_per_slice #time_per_timestep_per_elem
16	96      256     47040		7.66e-8     # (added daniel: result from strong scaling run CPUstrong96)
36	216	288	31968		7.48e-8
64	384	384	42552		7.20e-8
100	600	480	42984		7.32e-8
256	1536	640	37825		7.61e-8
400	2400	800	47700		7.98e-8
1024	6144    1024    40640  		1.2296e-07  #(added daniel Jan2019: total runtime -> per time step/per element = 1.499/300/40640 = 1.2296e-07)
