# strong scaling benchmark - Summit
# Wenjie Lei, Dec 2018
#
#nodes 	#nproc #nproc_xi  	# avg time per time step	#total elapsed time (s)
1	6	1	 	-    				-		#failed (not enough GPU memory, simulation needs ~ 16GB)
4	24	2		0.0121				3.63
16	96	4		0.00335				1.005
64	384	8		0.00117				0.351
256	1536	16		0.000661			0.1983
1024	6144	32		-				-

