# strong scaling benchmark - Summit
# Ridvan Orsvuran, Jan 2019
# for NEX 512
#nodes #nproc #nproc_xi  	# avg time per time step (s)
1	6	1	 	-                               #(not enough GPU memory, simulation needs ~ 16GB)
4	24	2		- 				#(failed)
16	96	4		0.020275			
64	384	8		0.005388			
256	1536	16		0.001892			
1024	6144	32		0.001175

